asset,capacity,capacity_storage_energy,consumer_balance_sense,discount_rate,economic_lifetime,energy_to_power_ratio,group,investment_integer,investment_integer_storage_energy,investment_method,is_seasonal,max_ramp_down,max_ramp_up,min_operating_point,ramping,storage_method_energy,technical_lifetime,type,unit_commitment,unit_commitment_integer,unit_commitment_method,use_binary_storage_method
NL_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
BE_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
DE_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
FR_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
DK_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
UK_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
IE_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
CH_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
AT_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
LU_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
CZ_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
PL_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
SE_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
NO_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
ES_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
PT_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
IT_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
MT_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
SI_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
HU_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
SK_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
LT_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
LV_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
EE_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
FI_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
HR_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
GR_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
BG_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
RO_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
CY_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
OBZLL_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
NL_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
BE_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
DE_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
FR_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
DK_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
UK_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
IE_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
CH_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
AT_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
LU_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
CZ_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
PL_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
SE_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
NO_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
ES_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
PT_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
IT_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
MT_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
SI_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
HU_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
SK_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
LT_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
LV_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
EE_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
FI_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
HR_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
GR_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
BG_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
RO_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
CY_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
OBZLL_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
SPILLAGE,0.0,0.0,>=,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
NL_electrolyzer,16004.56621,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
BE_electrolyzer,11118.72146,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
DE_electrolyzer,68344.74886,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
FR_electrolyzer,6803.652968,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
DK_electrolyzer,2305.936073,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
UK_electrolyzer,35589.07422,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
IE_electrolyzer,2705.479452,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
CH_electrolyzer,3820.526568,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
AT_electrolyzer,5730.593607,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
LU_electrolyzer,513.6986301,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
CZ_electrolyzer,4703.196347,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
PL_electrolyzer,14942.92237,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
SE_electrolyzer,8664.383562,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
NO_electrolyzer,9032.895165,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
ES_electrolyzer,20970.31963,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
PT_electrolyzer,3515.981735,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
IT_electrolyzer,16666.66667,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
MT_electrolyzer,68.49315068,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
SI_electrolyzer,650.6849315,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
HU_electrolyzer,4212.328767,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
SK_electrolyzer,2716.894977,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
LT_electrolyzer,2066.210046,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
LV_electrolyzer,308.2191781,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
EE_electrolyzer,194.0639269,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
FI_electrolyzer,5410.958904,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
HR_electrolyzer,924.6575342,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
GR_electrolyzer,6575.342466,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
BG_electrolyzer,1518.26484,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
RO_electrolyzer,4897.260274,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
CY_electrolyzer,285.3881279,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
OBZLL_electrolyzer,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,conversion,False,False,,
NL_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
BE_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
DE_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
FR_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
DK_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
UK_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
IE_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
CH_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
AT_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
LU_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
CZ_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
PL_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
SE_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
NO_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
ES_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
PT_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
IT_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
MT_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
SI_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
HU_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
SK_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
LT_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
LV_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
EE_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
FI_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
HR_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
GR_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
BG_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
RO_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
CY_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
OBZLL_E_Balance,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,hub,False,False,,
NL_E_ENS,33775.8785,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,producer,False,False,,
NL_Wind_Onshore,20000.0,0.0,,0.0,1.0,0,,True,False,simple,False,,,0.0,False,False,1.0,producer,False,False,,
NL_Wind_Offshore,49653.0,0.0,,0.0,1.0,0,,True,False,simple,False,,,0.0,False,False,1.0,producer,False,False,,
NL_Solar,99984.0,0.0,,0.0,1.0,0,,True,False,simple,False,,,0.0,False,False,1.0,producer,False,False,,
NL_Gas,15250.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,producer,False,False,,
NL_OCGT,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,producer,False,False,,
BE_E_ENS,23582.92406,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,producer,False,False,,
BE_Wind_Onshore,10000.0,0.0,,0.0,1.0,0,,True,False,simple,False,,,0.0,False,False,1.0,producer,False,False,,
BE_Wind_Offshore,10960.0,0.0,,0.0,1.0,0,,True,False,simple,False,,,0.0,False,False,1.0,producer,False,False,,
BE_Solar,55000.0,0.0,,0.0,1.0,0,,True,False,simple,False,,,0.0,False,False,1.0,producer,False,False,,
BE_Gas,8868.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,producer,False,False,,
BE_OCGT,244.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,producer,False,False,,
DE_E_ENS,119083.5828,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,producer,False,False,,
DE_Wind_Onshore,191500.0,0.0,,0.0,1.0,0,,True,False,simple,False,,,0.0,False,False,1.0,producer,False,False,,
DE_Wind_Offshore,70585.0,0.0,,0.0,1.0,0,,True,False,simple,False,,,0.0,False,False,1.0,producer,False,False,,
DE_Solar,456389.0,0.0,,0.0,1.0,0,,True,False,simple,False,,,0.0,False,False,1.0,producer,False,False,,
DE_Coal,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,producer,False,False,,
DE_Gas,33582.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,producer,False,False,,
DE_OCGT,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,producer,False,False,,
FR_E_ENS,92160.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,producer,False,False,,
FR_Wind_Onshore,80000.0,0.0,,0.0,1.0,0,,True,False,simple,False,,,0.0,False,False,1.0,producer,False,False,,
FR_Wind_Offshore,43570.0,0.0,,0.0,1.0,0,,True,False,simple,False,,,0.0,False,False,1.0,producer,False,False,,
FR_Solar,193594.0,0.0,,0.0,1.0,0,,True,False,simple,False,,,0.0,False,False,1.0,producer,False,False,,
FR_Nuclear,50139.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,producer,False,False,,
FR_Gas,10839.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,producer,False,False,,
FR_OCGT,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,producer,False,False,,
DK_E_ENS,5894.6533,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,producer,False,False,,
DK_Wind_Onshore,11393.0,0.0,,0.0,1.0,0,,True,False,simple,False,,,0.0,False,False,1.0,producer,False,False,,
DK_Wind_Offshore,44191.0,0.0,,0.0,1.0,0,,True,False,simple,False,,,0.0,False,False,1.0,producer,False,False,,
DK_Solar,24446.0,0.0,,0.0,1.0,0,,True,False,simple,False,,,0.0,False,False,1.0,producer,False,False,,
DK_Gas,10.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,producer,False,False,,
DK_OCGT,612.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,producer,False,False,,
UK_E_ENS,118630.2474,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,producer,False,False,,
UK_Wind_Onshore,53918.0,0.0,,0.0,1.0,0,,True,False,simple,False,,,0.0,False,False,1.0,producer,False,False,,
UK_Wind_Offshore,110458.0,0.0,,0.0,1.0,0,,True,False,simple,False,,,0.0,False,False,1.0,producer,False,False,,
