from_asset,investable,milestone_year,to_asset,variable_cost,dc_opf,reactance
NL_E_Balance,false,2050,NL_E_Demand,0.0,false,0.3
NL_E_ENS,false,2050,NL_E_Demand,1.0,false,0.3
NL_Wind_Onshore,false,2050,NL_E_Balance,0.0,false,0.3
NL_Wind_Offshore,false,2050,NL_E_Balance,0.0,false,0.3
NL_Solar,false,2050,NL_E_Balance,0.0,false,0.3
NL_E_Balance,false,2050,NL_Battery,0.0,false,0.3
NL_Battery,false,2050,NL_E_Balance,0.0,false,0.3
NL_Gas,false,2050,NL_E_Balance,0.079858571,false,0.3
NL_OCGT,false,2050,NL_E_Balance,0.10993,false,0.3
BE_E_Balance,false,2050,BE_E_Demand,0.0,false,0.3
BE_E_ENS,false,2050,BE_E_Demand,1.0,false,0.3
BE_Wind_Onshore,false,2050,BE_E_Balance,0.0,false,0.3
BE_Wind_Offshore,false,2050,BE_E_Balance,0.0,false,0.3
BE_Solar,false,2050,BE_E_Balance,0.0,false,0.3
BE_Hydro,false,2050,BE_E_Balance,0.0,false,0.3
BE_E_Balance,false,2050,BE_Battery,0.0,false,0.3
BE_Battery,false,2050,BE_E_Balance,0.0,false,0.3
BE_Gas,false,2050,BE_E_Balance,0.079858571,false,0.3
BE_OCGT,false,2050,BE_E_Balance,0.10993,false,0.3
DE_E_Balance,false,2050,DE_E_Demand,0.0,false,0.3
DE_E_ENS,false,2050,DE_E_Demand,1.0,false,0.3
DE_Wind_Onshore,false,2050,DE_E_Balance,0.0,false,0.3
DE_Wind_Offshore,false,2050,DE_E_Balance,0.0,false,0.3
DE_Solar,false,2050,DE_E_Balance,0.0,false,0.3
DE_Hydro,false,2050,DE_E_Balance,0.0,false,0.3
DE_Hydro_Reservoir,false,2050,DE_E_Balance,0.0,false,0.3
DE_E_Balance,false,2050,DE_Battery,0.0,false,0.3
DE_Battery,false,2050,DE_E_Balance,0.0,false,0.3
DE_E_Balance,false,2050,DE_Pump_Hydro_Closed,0.0,false,0.3
DE_Pump_Hydro_Closed,false,2050,DE_E_Balance,0.0,false,0.3
DE_E_Balance,false,2050,DE_Pump_Hydro_Open,0.0,false,0.3
DE_Pump_Hydro_Open,false,2050,DE_E_Balance,0.0,false,0.3
DE_Coal,false,2050,DE_E_Balance,0.051035102,false,0.3
DE_Gas,false,2050,DE_E_Balance,0.079858571,false,0.3
DE_OCGT,false,2050,DE_E_Balance,0.10993,false,0.3
FR_E_Balance,false,2050,FR_E_Demand,0.0,false,0.3
FR_E_ENS,false,2050,FR_E_Demand,1.0,false,0.3
FR_Wind_Onshore,false,2050,FR_E_Balance,0.0,false,0.3
FR_Wind_Offshore,false,2050,FR_E_Balance,0.0,false,0.3
FR_Solar,false,2050,FR_E_Balance,0.0,false,0.3
FR_Hydro,false,2050,FR_E_Balance,0.0,false,0.3
FR_Hydro_Reservoir,false,2050,FR_E_Balance,0.0,false,0.3
FR_Nuclear,false,2050,FR_E_Balance,0.0115,false,0.3
FR_E_Balance,false,2050,FR_Pump_Hydro_Closed,0.0,false,0.3
FR_Pump_Hydro_Closed,false,2050,FR_E_Balance,0.0,false,0.3
FR_E_Balance,false,2050,FR_Pump_Hydro_Open,0.0,false,0.3
FR_Pump_Hydro_Open,false,2050,FR_E_Balance,0.0,false,0.3
FR_Gas,false,2050,FR_E_Balance,0.079858571,false,0.3
FR_OCGT,false,2050,FR_E_Balance,0.10993,false,0.3
DK_E_Balance,false,2050,DK_E_Demand,0.0,false,0.3
DK_E_ENS,false,2050,DK_E_Demand,1.0,false,0.3
DK_Wind_Onshore,false,2050,DK_E_Balance,0.0,false,0.3
DK_Wind_Offshore,false,2050,DK_E_Balance,0.0,false,0.3
DK_Solar,false,2050,DK_E_Balance,0.0,false,0.3
DK_Gas,false,2050,DK_E_Balance,0.079858571,false,0.3
DK_OCGT,false,2050,DK_E_Balance,0.10993,false,0.3
UK_E_Balance,false,2050,UK_E_Demand,0.0,false,0.3
UK_E_ENS,false,2050,UK_E_Demand,1.0,false,0.3
UK_Wind_Onshore,false,2050,UK_E_Balance,0.0,false,0.3
UK_Wind_Offshore,false,2050,UK_E_Balance,0.0,false,0.3
UK_Solar,false,2050,UK_E_Balance,0.0,false,0.3
UK_Hydro,false,2050,UK_E_Balance,0.0,false,0.3
UK_Nuclear,false,2050,UK_E_Balance,0.0115,false,0.3
UK_E_Balance,false,2050,UK_Battery,0.0,false,0.3
UK_Battery,false,2050,UK_E_Balance,0.0,false,0.3
UK_E_Balance,false,2050,UK_Pump_Hydro_Closed,0.0,false,0.3
UK_Pump_Hydro_Closed,false,2050,UK_E_Balance,0.0,false,0.3
UK_Gas,false,2050,UK_E_Balance,0.079858571,false,0.3
UK_OCGT,false,2050,UK_E_Balance,0.10993,false,0.3
IE_E_Balance,false,2050,IE_E_Demand,0.0,false,0.3
IE_E_ENS,false,2050,IE_E_Demand,1.0,false,0.3
IE_Wind_Onshore,false,2050,IE_E_Balance,0.0,false,0.3
IE_Wind_Offshore,false,2050,IE_E_Balance,0.0,false,0.3
IE_Solar,false,2050,IE_E_Balance,0.0,false,0.3
IE_Hydro,false,2050,IE_E_Balance,0.0,false,0.3
IE_E_Balance,false,2050,IE_Battery,0.0,false,0.3
IE_Battery,false,2050,IE_E_Balance,0.0,false,0.3
IE_E_Balance,false,2050,IE_Pump_Hydro_Closed,0.0,false,0.3
IE_Pump_Hydro_Closed,false,2050,IE_E_Balance,0.0,false,0.3
IE_Gas,false,2050,IE_E_Balance,0.079858571,false,0.3
IE_OCGT,false,2050,IE_E_Balance,0.10993,false,0.3
CH_E_Balance,false,2050,CH_E_Demand,0.0,false,0.3
CH_E_ENS,false,2050,CH_E_Demand,1.0,false,0.3
CH_Wind_Onshore,false,2050,CH_E_Balance,0.0,false,0.3
CH_Solar,false,2050,CH_E_Balance,0.0,false,0.3
CH_Hydro,false,2050,CH_E_Balance,0.0,false,0.3
CH_Nuclear,false,2050,CH_E_Balance,0.0115,false,0.3
CH_E_Balance,false,2050,CH_Battery,0.0,false,0.3
CH_Battery,false,2050,CH_E_Balance,0.0,false,0.3
CH_E_Balance,false,2050,CH_Pump_Hydro_Closed,0.0,false,0.3
CH_Pump_Hydro_Closed,false,2050,CH_E_Balance,0.0,false,0.3
CH_E_Balance,false,2050,CH_Pump_Hydro_Open,0.0,false,0.3
CH_Pump_Hydro_Open,false,2050,CH_E_Balance,0.0,false,0.3
AT_E_Balance,false,2050,AT_E_Demand,0.0,false,0.3
AT_E_ENS,false,2050,AT_E_Demand,1.0,false,0.3
AT_Wind_Onshore,false,2050,AT_E_Balance,0.0,false,0.3
AT_Solar,false,2050,AT_E_Balance,0.0,false,0.3
AT_Hydro,false,2050,AT_E_Balance,0.0,false,0.3
AT_Hydro_Reservoir,false,2050,AT_E_Balance,0.0,false,0.3
AT_E_Balance,false,2050,AT_Battery,0.0,false,0.3
AT_Battery,false,2050,AT_E_Balance,0.0,false,0.3
AT_E_Balance,false,2050,AT_Pump_Hydro_Closed,0.0,false,0.3
AT_Pump_Hydro_Closed,false,2050,AT_E_Balance,0.0,false,0.3
AT_E_Balance,false,2050,AT_Pump_Hydro_Open,0.0,false,0.3
AT_Pump_Hydro_Open,false,2050,AT_E_Balance,0.0,false,0.3
AT_Gas,false,2050,AT_E_Balance,0.079858571,false,0.3
LU_E_Balance,false,2050,LU_E_Demand,0.0,false,0.3
LU_E_ENS,false,2050,LU_E_Demand,1.0,false,0.3
LU_Wind_Onshore,false,2050,LU_E_Balance,0.0,false,0.3
LU_Solar,false,2050,LU_E_Balance,0.0,false,0.3
LU_Hydro,false,2050,LU_E_Balance,0.0,false,0.3
LU_E_Balance,false,2050,LU_Pump_Hydro_Closed,0.0,false,0.3
LU_Pump_Hydro_Closed,false,2050,LU_E_Balance,0.0,false,0.3
CZ_E_Balance,false,2050,CZ_E_Demand,0.0,false,0.3
CZ_E_ENS,false,2050,CZ_E_Demand,1.0,false,0.3
CZ_Wind_Onshore,false,2050,CZ_E_Balance,0.0,false,0.3
CZ_Solar,false,2050,CZ_E_Balance,0.0,false,0.3
CZ_Hydro,false,2050,CZ_E_Balance,0.0,false,0.3
CZ_Hydro_Reservoir,false,2050,CZ_E_Balance,0.0,false,0.3
CZ_Nuclear,false,2050,CZ_E_Balance,0.0115,false,0.3
CZ_E_Balance,false,2050,CZ_Battery,0.0,false,0.3
CZ_Battery,false,2050,CZ_E_Balance,0.0,false,0.3
CZ_E_Balance,false,2050,CZ_Pump_Hydro_Closed,0.0,false,0.3
CZ_Pump_Hydro_Closed,false,2050,CZ_E_Balance,0.0,false,0.3
CZ_E_Balance,false,2050,CZ_Pump_Hydro_Open,0.0,false,0.3
CZ_Pump_Hydro_Open,false,2050,CZ_E_Balance,0.0,false,0.3
CZ_Coal,false,2050,CZ_E_Balance,0.051035102,false,0.3
CZ_Gas,false,2050,CZ_E_Balance,0.079858571,false,0.3
PL_E_Balance,false,2050,PL_E_Demand,0.0,false,0.3
PL_E_ENS,false,2050,PL_E_Demand,1.0,false,0.3
PL_Wind_Onshore,false,2050,PL_E_Balance,0.0,false,0.3
PL_Wind_Offshore,false,2050,PL_E_Balance,0.0,false,0.3
PL_Solar,false,2050,PL_E_Balance,0.0,false,0.3
PL_Hydro,false,2050,PL_E_Balance,0.0,false,0.3
PL_Hydro_Reservoir,false,2050,PL_E_Balance,0.0,false,0.3
PL_E_Balance,false,2050,PL_Pump_Hydro_Closed,0.0,false,0.3
PL_Pump_Hydro_Closed,false,2050,PL_E_Balance,0.0,false,0.3
PL_E_Balance,false,2050,PL_Pump_Hydro_Open,0.0,false,0.3
PL_Pump_Hydro_Open,false,2050,PL_E_Balance,0.0,false,0.3
PL_Coal,false,2050,PL_E_Balance,0.051035102,false,0.3
PL_Gas,false,2050,PL_E_Balance,0.079858571,false,0.3
SE_E_Balance,false,2050,SE_E_Demand,0.0,false,0.3
SE_E_ENS,false,2050,SE_E_Demand,1.0,false,0.3
SE_Wind_Onshore,false,2050,SE_E_Balance,0.0,false,0.3
SE_Wind_Offshore,false,2050,SE_E_Balance,0.0,false,0.3
SE_Solar,false,2050,SE_E_Balance,0.0,false,0.3
SE_Hydro_Reservoir,false,2050,SE_E_Balance,0.0,false,0.3
SE_Nuclear,false,2050,SE_E_Balance,0.0115,false,0.3
SE_E_Balance,false,2050,SE_Battery,0.0,false,0.3
SE_Battery,false,2050,SE_E_Balance,0.0,false,0.3
SE_Gas,false,2050,SE_E_Balance,0.079858571,false,0.3
SE_OCGT,false,2050,SE_E_Balance,0.10993,false,0.3
NO_E_Balance,false,2050,NO_E_Demand,0.0,false,0.3
NO_E_ENS,false,2050,NO_E_Demand,1.0,false,0.3
NO_Wind_Onshore,false,2050,NO_E_Balance,0.0,false,0.3
NO_Wind_Offshore,false,2050,NO_E_Balance,0.0,false,0.3
NO_Solar,false,2050,NO_E_Balance,0.0,false,0.3
NO_E_Balance,false,2050,NO_Pump_Hydro_Open,0.0,false,0.3
NO_Pump_Hydro_Open,false,2050,NO_E_Balance,0.0,false,0.3
NO_Hydro_Reservoir,false,2050,NO_E_Balance,0.0,false,0.3
ES_E_Balance,false,2050,ES_E_Demand,0.0,false,0.3
ES_E_ENS,false,2050,ES_E_Demand,1.0,false,0.3
ES_Wind_Onshore,false,2050,ES_E_Balance,0.0,false,0.3
ES_Wind_Offshore,false,2050,ES_E_Balance,0.0,false,0.3
ES_Solar,false,2050,ES_E_Balance,0.0,false,0.3
ES_Hydro,false,2050,ES_E_Balance,0.0,false,0.3
ES_Hydro_Reservoir,false,2050,ES_E_Balance,0.0,false,0.3
ES_Nuclear,false,2050,ES_E_Balance,0.0115,false,0.3
ES_E_Balance,false,2050,ES_Battery,0.0,false,0.3
ES_Battery,false,2050,ES_E_Balance,0.0,false,0.3
ES_E_Balance,false,2050,ES_Pump_Hydro_Closed,0.0,false,0.3
ES_Pump_Hydro_Closed,false,2050,ES_E_Balance,0.0,false,0.3
ES_E_Balance,false,2050,ES_Pump_Hydro_Open,0.0,false,0.3
ES_Pump_Hydro_Open,false,2050,ES_E_Balance,0.0,false,0.3
ES_Gas,false,2050,ES_E_Balance,0.079858571,false,0.3
PT_E_Balance,false,2050,PT_E_Demand,0.0,false,0.3
PT_E_ENS,false,2050,PT_E_Demand,1.0,false,0.3
PT_Wind_Onshore,false,2050,PT_E_Balance,0.0,false,0.3
PT_Wind_Offshore,false,2050,PT_E_Balance,0.0,false,0.3
PT_Solar,false,2050,PT_E_Balance,0.0,false,0.3
PT_Hydro,false,2050,PT_E_Balance,0.0,false,0.3
PT_Hydro_Reservoir,false,2050,PT_E_Balance,0.0,false,0.3
PT_E_Balance,false,2050,PT_Pump_Hydro_Open,0.0,false,0.3
PT_Pump_Hydro_Open,false,2050,PT_E_Balance,0.0,false,0.3
PT_Gas,false,2050,PT_E_Balance,0.079858571,false,0.3
IT_E_Balance,false,2050,IT_E_Demand,0.0,false,0.3
IT_E_ENS,false,2050,IT_E_Demand,1.0,false,0.3
IT_Wind_Onshore,false,2050,IT_E_Balance,0.0,false,0.3
IT_Wind_Offshore,false,2050,IT_E_Balance,0.0,false,0.3
IT_Solar,false,2050,IT_E_Balance,0.0,false,0.3
IT_Hydro,false,2050,IT_E_Balance,0.0,false,0.3
IT_Hydro_Reservoir,false,2050,IT_E_Balance,0.0,false,0.3
IT_E_Balance,false,2050,IT_Battery,0.0,false,0.3
IT_Battery,false,2050,IT_E_Balance,0.0,false,0.3
IT_E_Balance,false,2050,IT_Pump_Hydro_Closed,0.0,false,0.3
IT_Pump_Hydro_Closed,false,2050,IT_E_Balance,0.0,false,0.3
IT_E_Balance,false,2050,IT_Pump_Hydro_Open,0.0,false,0.3
IT_Pump_Hydro_Open,false,2050,IT_E_Balance,0.0,false,0.3
IT_Gas,false,2050,IT_E_Balance,0.079858571,false,0.3
IT_OCGT,false,2050,IT_E_Balance,0.10993,false,0.3
MT_E_Balance,false,2050,MT_E_Demand,0.0,false,0.3
MT_E_ENS,false,2050,MT_E_Demand,1.0,false,0.3
MT_Solar,false,2050,MT_E_Balance,0.0,false,0.3
MT_Gas,false,2050,MT_E_Balance,0.079858571,false,0.3
SI_E_Balance,false,2050,SI_E_Demand,0.0,false,0.3
SI_E_ENS,false,2050,SI_E_Demand,1.0,false,0.3
SI_Wind_Onshore,false,2050,SI_E_Balance,0.0,false,0.3
SI_Wind_Offshore,false,2050,SI_E_Balance,0.0,false,0.3
SI_Solar,false,2050,SI_E_Balance,0.0,false,0.3
SI_Hydro,false,2050,SI_E_Balance,0.0,false,0.3
SI_Nuclear,false,2050,SI_E_Balance,0.0115,false,0.3
SI_E_Balance,false,2050,SI_Battery,0.0,false,0.3
SI_Battery,false,2050,SI_E_Balance,0.0,false,0.3
SI_E_Balance,false,2050,SI_Pump_Hydro_Closed,0.0,false,0.3
SI_Pump_Hydro_Closed,false,2050,SI_E_Balance,0.0,false,0.3
SI_Coal,false,2050,SI_E_Balance,0.051035102,false,0.3
SI_Gas,false,2050,SI_E_Balance,0.079858571,false,0.3
SI_OCGT,false,2050,SI_E_Balance,0.10993,false,0.3
HU_E_Balance,false,2050,HU_E_Demand,0.0,false,0.3
HU_E_ENS,false,2050,HU_E_Demand,1.0,false,0.3
HU_Wind_Onshore,false,2050,HU_E_Balance,0.0,false,0.3
HU_Solar,false,2050,HU_E_Balance,0.0,false,0.3
HU_Hydro,false,2050,HU_E_Balance,0.0,false,0.3
HU_Nuclear,false,2050,HU_E_Balance,0.0115,false,0.3
HU_E_Balance,false,2050,HU_Battery,0.0,false,0.3
HU_Battery,false,2050,HU_E_Balance,0.0,false,0.3
HU_Gas,false,2050,HU_E_Balance,0.079858571,false,0.3
HU_OCGT,false,2050,HU_E_Balance,0.10993,false,0.3
SK_E_Balance,false,2050,SK_E_Demand,0.0,false,0.3
SK_E_ENS,false,2050,SK_E_Demand,1.0,false,0.3
SK_Wind_Onshore,false,2050,SK_E_Balance,0.0,false,0.3
SK_Solar,false,2050,SK_E_Balance,0.0,false,0.3
SK_Hydro,false,2050,SK_E_Balance,0.0,false,0.3
SK_Hydro_Reservoir,false,2050,SK_E_Balance,0.0,false,0.3
SK_Nuclear,false,2050,SK_E_Balance,0.0115,false,0.3
SK_E_Balance,false,2050,SK_Pump_Hydro_Closed,0.0,false,0.3
SK_Pump_Hydro_Closed,false,2050,SK_E_Balance,0.0,false,0.3
SK_E_Balance,false,2050,SK_Pump_Hydro_Open,0.0,false,0.3
SK_Pump_Hydro_Open,false,2050,SK_E_Balance,0.0,false,0.3
SK_Coal,false,2050,SK_E_Balance,0.051035102,false,0.3
SK_Gas,false,2050,SK_E_Balance,0.079858571,false,0.3
LT_E_Balance,false,2050,LT_E_Demand,0.0,false,0.3
LT_E_ENS,false,2050,LT_E_Demand,1.0,false,0.3
LT_Wind_Onshore,false,2050,LT_E_Balance,0.0,false,0.3
LT_Wind_Offshore,false,2050,LT_E_Balance,0.0,false,0.3
LT_Solar,false,2050,LT_E_Balance,0.0,false,0.3
LT_Hydro,false,2050,LT_E_Balance,0.0,false,0.3
LT_E_Balance,false,2050,LT_Battery,0.0,false,0.3
LT_Battery,false,2050,LT_E_Balance,0.0,false,0.3
