id,asset,year,rep_period,time_block_start,time_block_end,rn,dual_shut_down_lower_bound
1,AT_Gas,2050,1,7,12,2,0.0
2,AT_Gas,2050,1,13,18,3,0.0
3,AT_Gas,2050,1,19,24,4,0.0
4,AT_Gas,2050,2,1,6,5,0.0
5,AT_Gas,2050,2,7,12,6,0.0
6,AT_Gas,2050,2,13,18,7,0.0
7,AT_Gas,2050,2,19,24,8,0.0
8,AT_Gas,2050,3,1,6,9,0.0
9,AT_Gas,2050,3,7,12,10,0.0
10,AT_Gas,2050,3,13,18,11,0.0
11,AT_Gas,2050,3,19,24,12,0.0
12,AT_Gas,2050,4,1,6,13,0.0
13,AT_Gas,2050,4,7,12,14,0.0
14,AT_Gas,2050,4,13,18,15,0.0
15,AT_Gas,2050,4,19,24,16,0.0
16,AT_Gas,2050,5,1,6,17,0.0
17,AT_Gas,2050,5,7,12,18,0.0
18,AT_Gas,2050,5,13,18,19,0.0
19,AT_Gas,2050,5,19,24,20,0.0
20,AT_Gas,2050,6,1,6,21,0.0
21,AT_Gas,2050,6,7,12,22,0.0
22,AT_Gas,2050,6,13,18,23,0.0
23,AT_Gas,2050,6,19,24,24,0.0
24,AT_Gas,2050,7,1,6,25,0.0
25,AT_Gas,2050,7,7,12,26,0.0
26,AT_Gas,2050,7,13,18,27,0.0
27,AT_Gas,2050,7,19,24,28,0.0
28,AT_Gas,2050,8,1,6,29,0.0
29,AT_Gas,2050,8,7,12,30,0.0
30,AT_Gas,2050,8,13,18,31,0.0
31,AT_Gas,2050,8,19,24,32,0.0
32,AT_Gas,2050,9,1,6,33,0.0
33,AT_Gas,2050,9,7,12,34,0.0
34,AT_Gas,2050,9,13,18,35,0.0
35,AT_Gas,2050,9,19,24,36,0.0
36,AT_Gas,2050,10,1,6,37,0.0
37,AT_Gas,2050,10,7,12,38,0.0
38,AT_Gas,2050,10,13,18,39,0.0
39,AT_Gas,2050,10,19,24,40,0.0
40,BE_Gas,2050,1,7,12,2,0.0
41,BE_Gas,2050,1,13,18,3,0.0
42,BE_Gas,2050,1,19,24,4,0.0
43,BE_Gas,2050,2,1,6,5,0.0
44,BE_Gas,2050,2,7,12,6,0.0
45,BE_Gas,2050,2,13,18,7,0.0
46,BE_Gas,2050,2,19,24,8,0.0
47,BE_Gas,2050,3,1,6,9,0.0
48,BE_Gas,2050,3,7,12,10,0.0
49,BE_Gas,2050,3,13,18,11,0.0
50,BE_Gas,2050,3,19,24,12,0.0
51,BE_Gas,2050,4,1,6,13,0.0
52,BE_Gas,2050,4,7,12,14,0.0
53,BE_Gas,2050,4,13,18,15,0.0
54,BE_Gas,2050,4,19,24,16,0.0
55,BE_Gas,2050,5,1,6,17,0.0
56,BE_Gas,2050,5,7,12,18,0.0
57,BE_Gas,2050,5,13,18,19,0.0
58,BE_Gas,2050,5,19,24,20,0.0
59,BE_Gas,2050,6,1,6,21,0.0
60,BE_Gas,2050,6,7,12,22,0.0
61,BE_Gas,2050,6,13,18,23,0.0
62,BE_Gas,2050,6,19,24,24,0.0
63,BE_Gas,2050,7,1,6,25,0.0
64,BE_Gas,2050,7,7,12,26,0.0
65,BE_Gas,2050,7,13,18,27,0.0
66,BE_Gas,2050,7,19,24,28,0.0
67,BE_Gas,2050,8,1,6,29,0.0
68,BE_Gas,2050,8,7,12,30,0.0
69,BE_Gas,2050,8,13,18,31,0.0
70,BE_Gas,2050,8,19,24,32,0.0
71,BE_Gas,2050,9,1,6,33,0.0
72,BE_Gas,2050,9,7,12,34,0.0
73,BE_Gas,2050,9,13,18,35,0.0
74,BE_Gas,2050,9,19,24,36,0.0
75,BE_Gas,2050,10,1,6,37,0.0
76,BE_Gas,2050,10,7,12,38,0.0
77,BE_Gas,2050,10,13,18,39,0.0
78,BE_Gas,2050,10,19,24,40,0.0
79,BE_OCGT,2050,1,7,12,2,0.0
80,BE_OCGT,2050,1,13,18,3,0.0
81,BE_OCGT,2050,1,19,24,4,0.0
82,BE_OCGT,2050,2,1,6,5,0.0
83,BE_OCGT,2050,2,7,12,6,0.0
84,BE_OCGT,2050,2,13,18,7,0.0
85,BE_OCGT,2050,2,19,24,8,0.0
86,BE_OCGT,2050,3,1,6,9,0.0
87,BE_OCGT,2050,3,7,12,10,0.0
88,BE_OCGT,2050,3,13,18,11,0.0
89,BE_OCGT,2050,3,19,24,12,0.0
90,BE_OCGT,2050,4,1,6,13,0.0
91,BE_OCGT,2050,4,7,12,14,0.0
92,BE_OCGT,2050,4,13,18,15,0.0
93,BE_OCGT,2050,4,19,24,16,0.0
94,BE_OCGT,2050,5,1,6,17,0.0
95,BE_OCGT,2050,5,7,12,18,0.0
96,BE_OCGT,2050,5,13,18,19,0.0
97,BE_OCGT,2050,5,19,24,20,0.0
98,BE_OCGT,2050,6,1,6,21,0.0
99,BE_OCGT,2050,6,7,12,22,0.0
100,BE_OCGT,2050,6,13,18,23,0.0
101,BE_OCGT,2050,6,19,24,24,0.0
102,BE_OCGT,2050,7,1,6,25,0.0
103,BE_OCGT,2050,7,7,12,26,0.0
104,BE_OCGT,2050,7,13,18,27,0.0
105,BE_OCGT,2050,7,19,24,28,0.0
106,BE_OCGT,2050,8,1,6,29,0.0
107,BE_OCGT,2050,8,7,12,30,0.0
108,BE_OCGT,2050,8,13,18,31,0.0
109,BE_OCGT,2050,8,19,24,32,0.0
110,BE_OCGT,2050,9,1,6,33,0.0
111,BE_OCGT,2050,9,7,12,34,0.0
112,BE_OCGT,2050,9,13,18,35,0.0
113,BE_OCGT,2050,9,19,24,36,0.0
114,BE_OCGT,2050,10,1,6,37,0.0
115,BE_OCGT,2050,10,7,12,38,0.0
116,BE_OCGT,2050,10,13,18,39,0.0
117,BE_OCGT,2050,10,19,24,40,0.0
118,BG_Coal,2050,1,7,12,2,0.0
119,BG_Coal,2050,1,13,18,3,0.0
120,BG_Coal,2050,1,19,24,4,0.0
121,BG_Coal,2050,2,1,6,5,0.0
122,BG_Coal,2050,2,7,12,6,0.0
123,BG_Coal,2050,2,13,18,7,0.0
124,BG_Coal,2050,2,19,24,8,0.0
125,BG_Coal,2050,3,1,6,9,0.0
126,BG_Coal,2050,3,7,12,10,0.0
127,BG_Coal,2050,3,13,18,11,0.0
128,BG_Coal,2050,3,19,24,12,0.0
129,BG_Coal,2050,4,1,6,13,0.0
130,BG_Coal,2050,4,7,12,14,0.0
131,BG_Coal,2050,4,13,18,15,0.0
132,BG_Coal,2050,4,19,24,16,0.0
133,BG_Coal,2050,5,1,6,17,0.0
134,BG_Coal,2050,5,7,12,18,0.0
135,BG_Coal,2050,5,13,18,19,0.0
136,BG_Coal,2050,5,19,24,20,0.0
137,BG_Coal,2050,6,1,6,21,0.0
138,BG_Coal,2050,6,7,12,22,0.0
139,BG_Coal,2050,6,13,18,23,0.0
140,BG_Coal,2050,6,19,24,24,0.0
141,BG_Coal,2050,7,1,6,25,0.0
142,BG_Coal,2050,7,7,12,26,0.0
143,BG_Coal,2050,7,13,18,27,0.0
144,BG_Coal,2050,7,19,24,28,0.0
145,BG_Coal,2050,8,1,6,29,0.0
146,BG_Coal,2050,8,7,12,30,0.0
147,BG_Coal,2050,8,13,18,31,0.0
148,BG_Coal,2050,8,19,24,32,0.0
149,BG_Coal,2050,9,1,6,33,0.0
150,BG_Coal,2050,9,7,12,34,0.0
151,BG_Coal,2050,9,13,18,35,0.0
152,BG_Coal,2050,9,19,24,36,0.0
153,BG_Coal,2050,10,1,6,37,0.0
154,BG_Coal,2050,10,7,12,38,0.0
155,BG_Coal,2050,10,13,18,39,0.0
156,BG_Coal,2050,10,19,24,40,0.0
157,BG_Gas,2050,1,7,12,2,0.0
158,BG_Gas,2050,1,13,18,3,0.0
159,BG_Gas,2050,1,19,24,4,0.0
160,BG_Gas,2050,2,1,6,5,0.0
161,BG_Gas,2050,2,7,12,6,0.0
162,BG_Gas,2050,2,13,18,7,0.0
163,BG_Gas,2050,2,19,24,8,0.0
164,BG_Gas,2050,3,1,6,9,0.0
165,BG_Gas,2050,3,7,12,10,0.0
166,BG_Gas,2050,3,13,18,11,0.0
167,BG_Gas,2050,3,19,24,12,0.0
168,BG_Gas,2050,4,1,6,13,0.0
169,BG_Gas,2050,4,7,12,14,0.0
170,BG_Gas,2050,4,13,18,15,0.0
171,BG_Gas,2050,4,19,24,16,0.0
172,BG_Gas,2050,5,1,6,17,0.0
173,BG_Gas,2050,5,7,12,18,0.0
174,BG_Gas,2050,5,13,18,19,0.0
175,BG_Gas,2050,5,19,24,20,0.0
176,BG_Gas,2050,6,1,6,21,0.0
177,BG_Gas,2050,6,7,12,22,0.0
178,BG_Gas,2050,6,13,18,23,0.0
179,BG_Gas,2050,6,19,24,24,0.0
180,BG_Gas,2050,7,1,6,25,0.0
181,BG_Gas,2050,7,7,12,26,0.0
182,BG_Gas,2050,7,13,18,27,0.0
183,BG_Gas,2050,7,19,24,28,0.0
184,BG_Gas,2050,8,1,6,29,0.0
185,BG_Gas,2050,8,7,12,30,0.0
186,BG_Gas,2050,8,13,18,31,0.0
187,BG_Gas,2050,8,19,24,32,0.0
188,BG_Gas,2050,9,1,6,33,0.0
189,BG_Gas,2050,9,7,12,34,0.0
190,BG_Gas,2050,9,13,18,35,0.0
191,BG_Gas,2050,9,19,24,36,0.0
192,BG_Gas,2050,10,1,6,37,0.0
193,BG_Gas,2050,10,7,12,38,0.0
194,BG_Gas,2050,10,13,18,39,0.0
195,BG_Gas,2050,10,19,24,40,0.0
196,BG_Nuclear,2050,1,7,12,2,0.0
197,BG_Nuclear,2050,1,13,18,3,0.0
198,BG_Nuclear,2050,1,19,24,4,0.0
199,BG_Nuclear,2050,2,1,6,5,0.0
200,BG_Nuclear,2050,2,7,12,6,0.0
201,BG_Nuclear,2050,2,13,18,7,0.0
202,BG_Nuclear,2050,2,19,24,8,0.0
203,BG_Nuclear,2050,3,1,6,9,0.0
204,BG_Nuclear,2050,3,7,12,10,0.0
205,BG_Nuclear,2050,3,13,18,11,0.0
206,BG_Nuclear,2050,3,19,24,12,0.0
207,BG_Nuclear,2050,4,1,6,13,0.0
208,BG_Nuclear,2050,4,7,12,14,0.0
209,BG_Nuclear,2050,4,13,18,15,0.0
210,BG_Nuclear,2050,4,19,24,16,0.0
211,BG_Nuclear,2050,5,1,6,17,0.0
212,BG_Nuclear,2050,5,7,12,18,0.0
213,BG_Nuclear,2050,5,13,18,19,0.0
214,BG_Nuclear,2050,5,19,24,20,0.0
215,BG_Nuclear,2050,6,1,6,21,0.0
216,BG_Nuclear,2050,6,7,12,22,0.0
217,BG_Nuclear,2050,6,13,18,23,0.0
218,BG_Nuclear,2050,6,19,24,24,0.0
219,BG_Nuclear,2050,7,1,6,25,0.0
220,BG_Nuclear,2050,7,7,12,26,0.0
221,BG_Nuclear,2050,7,13,18,27,0.0
222,BG_Nuclear,2050,7,19,24,28,0.0
223,BG_Nuclear,2050,8,1,6,29,0.0
224,BG_Nuclear,2050,8,7,12,30,0.0
225,BG_Nuclear,2050,8,13,18,31,0.0
226,BG_Nuclear,2050,8,19,24,32,0.0
227,BG_Nuclear,2050,9,1,6,33,0.0
228,BG_Nuclear,2050,9,7,12,34,0.0
229,BG_Nuclear,2050,9,13,18,35,0.0
230,BG_Nuclear,2050,9,19,24,36,0.0
231,BG_Nuclear,2050,10,1,6,37,0.0
232,BG_Nuclear,2050,10,7,12,38,0.0
233,BG_Nuclear,2050,10,13,18,39,0.0
234,BG_Nuclear,2050,10,19,24,40,0.0
235,BG_OCGT,2050,1,7,12,2,0.0
236,BG_OCGT,2050,1,13,18,3,0.0
237,BG_OCGT,2050,1,19,24,4,0.0
238,BG_OCGT,2050,2,1,6,5,0.0
239,BG_OCGT,2050,2,7,12,6,0.0
240,BG_OCGT,2050,2,13,18,7,0.0
241,BG_OCGT,2050,2,19,24,8,0.0
242,BG_OCGT,2050,3,1,6,9,0.0
243,BG_OCGT,2050,3,7,12,10,0.0
244,BG_OCGT,2050,3,13,18,11,0.0
245,BG_OCGT,2050,3,19,24,12,0.0
246,BG_OCGT,2050,4,1,6,13,0.0
247,BG_OCGT,2050,4,7,12,14,0.0
248,BG_OCGT,2050,4,13,18,15,0.0
249,BG_OCGT,2050,4,19,24,16,0.0
250,BG_OCGT,2050,5,1,6,17,0.0
251,BG_OCGT,2050,5,7,12,18,0.0
252,BG_OCGT,2050,5,13,18,19,0.0
253,BG_OCGT,2050,5,19,24,20,0.0
254,BG_OCGT,2050,6,1,6,21,0.0
255,BG_OCGT,2050,6,7,12,22,0.0
256,BG_OCGT,2050,6,13,18,23,0.0
257,BG_OCGT,2050,6,19,24,24,0.0
258,BG_OCGT,2050,7,1,6,25,0.0
259,BG_OCGT,2050,7,7,12,26,0.0
260,BG_OCGT,2050,7,13,18,27,0.0
261,BG_OCGT,2050,7,19,24,28,0.0
262,BG_OCGT,2050,8,1,6,29,0.0
263,BG_OCGT,2050,8,7,12,30,0.0
264,BG_OCGT,2050,8,13,18,31,0.0
265,BG_OCGT,2050,8,19,24,32,0.0
266,BG_OCGT,2050,9,1,6,33,0.0
267,BG_OCGT,2050,9,7,12,34,0.0
268,BG_OCGT,2050,9,13,18,35,0.0
269,BG_OCGT,2050,9,19,24,36,0.0
270,BG_OCGT,2050,10,1,6,37,0.0
271,BG_OCGT,2050,10,7,12,38,0.0
272,BG_OCGT,2050,10,13,18,39,0.0
273,BG_OCGT,2050,10,19,24,40,0.0
274,CH_Nuclear,2050,1,7,12,2,0.0
275,CH_Nuclear,2050,1,13,18,3,0.0
276,CH_Nuclear,2050,1,19,24,4,0.0
277,CH_Nuclear,2050,2,1,6,5,0.0
278,CH_Nuclear,2050,2,7,12,6,0.0
279,CH_Nuclear,2050,2,13,18,7,0.0
280,CH_Nuclear,2050,2,19,24,8,0.0
281,CH_Nuclear,2050,3,1,6,9,0.0
282,CH_Nuclear,2050,3,7,12,10,0.0
283,CH_Nuclear,2050,3,13,18,11,0.0
284,CH_Nuclear,2050,3,19,24,12,0.0
285,CH_Nuclear,2050,4,1,6,13,0.0
286,CH_Nuclear,2050,4,7,12,14,0.0
287,CH_Nuclear,2050,4,13,18,15,0.0
288,CH_Nuclear,2050,4,19,24,16,0.0
289,CH_Nuclear,2050,5,1,6,17,0.0
290,CH_Nuclear,2050,5,7,12,18,0.0
291,CH_Nuclear,2050,5,13,18,19,0.0
292,CH_Nuclear,2050,5,19,24,20,0.0
293,CH_Nuclear,2050,6,1,6,21,0.0
294,CH_Nuclear,2050,6,7,12,22,0.0
295,CH_Nuclear,2050,6,13,18,23,0.0
296,CH_Nuclear,2050,6,19,24,24,0.0
297,CH_Nuclear,2050,7,1,6,25,0.0
298,CH_Nuclear,2050,7,7,12,26,0.0
299,CH_Nuclear,2050,7,13,18,27,0.0
300,CH_Nuclear,2050,7,19,24,28,0.0
301,CH_Nuclear,2050,8,1,6,29,0.0
302,CH_Nuclear,2050,8,7,12,30,0.0
303,CH_Nuclear,2050,8,13,18,31,0.0
304,CH_Nuclear,2050,8,19,24,32,0.0
305,CH_Nuclear,2050,9,1,6,33,0.0
306,CH_Nuclear,2050,9,7,12,34,0.0
307,CH_Nuclear,2050,9,13,18,35,0.0
308,CH_Nuclear,2050,9,19,24,36,0.0
309,CH_Nuclear,2050,10,1,6,37,0.0
310,CH_Nuclear,2050,10,7,12,38,0.0
311,CH_Nuclear,2050,10,13,18,39,0.0
312,CH_Nuclear,2050,10,19,24,40,0.0
313,CY_Gas,2050,1,7,12,2,0.0
314,CY_Gas,2050,1,13,18,3,0.0
315,CY_Gas,2050,1,19,24,4,0.0
316,CY_Gas,2050,2,1,6,5,0.0
317,CY_Gas,2050,2,7,12,6,0.0
318,CY_Gas,2050,2,13,18,7,0.0
319,CY_Gas,2050,2,19,24,8,0.0
320,CY_Gas,2050,3,1,6,9,0.0
321,CY_Gas,2050,3,7,12,10,0.0
322,CY_Gas,2050,3,13,18,11,0.0
323,CY_Gas,2050,3,19,24,12,0.0
324,CY_Gas,2050,4,1,6,13,0.0
325,CY_Gas,2050,4,7,12,14,0.0
326,CY_Gas,2050,4,13,18,15,0.0
327,CY_Gas,2050,4,19,24,16,0.0
328,CY_Gas,2050,5,1,6,17,0.0
329,CY_Gas,2050,5,7,12,18,0.0
330,CY_Gas,2050,5,13,18,19,0.0
331,CY_Gas,2050,5,19,24,20,0.0
332,CY_Gas,2050,6,1,6,21,0.0
333,CY_Gas,2050,6,7,12,22,0.0
334,CY_Gas,2050,6,13,18,23,0.0
335,CY_Gas,2050,6,19,24,24,0.0
336,CY_Gas,2050,7,1,6,25,0.0
337,CY_Gas,2050,7,7,12,26,0.0
338,CY_Gas,2050,7,13,18,27,0.0
339,CY_Gas,2050,7,19,24,28,0.0
340,CY_Gas,2050,8,1,6,29,0.0
341,CY_Gas,2050,8,7,12,30,0.0
342,CY_Gas,2050,8,13,18,31,0.0
343,CY_Gas,2050,8,19,24,32,0.0
344,CY_Gas,2050,9,1,6,33,0.0
345,CY_Gas,2050,9,7,12,34,0.0
346,CY_Gas,2050,9,13,18,35,0.0
347,CY_Gas,2050,9,19,24,36,0.0
348,CY_Gas,2050,10,1,6,37,0.0
349,CY_Gas,2050,10,7,12,38,0.0
350,CY_Gas,2050,10,13,18,39,0.0
351,CY_Gas,2050,10,19,24,40,0.0
352,CZ_Coal,2050,1,7,12,2,0.0
353,CZ_Coal,2050,1,13,18,3,0.0
354,CZ_Coal,2050,1,19,24,4,0.0
355,CZ_Coal,2050,2,1,6,5,0.0
356,CZ_Coal,2050,2,7,12,6,0.0
357,CZ_Coal,2050,2,13,18,7,0.0
358,CZ_Coal,2050,2,19,24,8,0.0
359,CZ_Coal,2050,3,1,6,9,0.0
360,CZ_Coal,2050,3,7,12,10,0.0
361,CZ_Coal,2050,3,13,18,11,0.0
362,CZ_Coal,2050,3,19,24,12,0.0
363,CZ_Coal,2050,4,1,6,13,0.0
364,CZ_Coal,2050,4,7,12,14,0.0
365,CZ_Coal,2050,4,13,18,15,0.0
366,CZ_Coal,2050,4,19,24,16,0.0
367,CZ_Coal,2050,5,1,6,17,0.0
368,CZ_Coal,2050,5,7,12,18,0.0
369,CZ_Coal,2050,5,13,18,19,0.0
370,CZ_Coal,2050,5,19,24,20,0.0
371,CZ_Coal,2050,6,1,6,21,0.0
372,CZ_Coal,2050,6,7,12,22,0.0
373,CZ_Coal,2050,6,13,18,23,0.0
374,CZ_Coal,2050,6,19,24,24,0.0
375,CZ_Coal,2050,7,1,6,25,0.0
376,CZ_Coal,2050,7,7,12,26,0.0
377,CZ_Coal,2050,7,13,18,27,0.0
378,CZ_Coal,2050,7,19,24,28,0.0
379,CZ_Coal,2050,8,1,6,29,0.0
380,CZ_Coal,2050,8,7,12,30,0.0
381,CZ_Coal,2050,8,13,18,31,0.0
382,CZ_Coal,2050,8,19,24,32,0.0
383,CZ_Coal,2050,9,1,6,33,0.0
384,CZ_Coal,2050,9,7,12,34,0.0
385,CZ_Coal,2050,9,13,18,35,0.0
386,CZ_Coal,2050,9,19,24,36,0.0
387,CZ_Coal,2050,10,1,6,37,0.0
388,CZ_Coal,2050,10,7,12,38,0.0
389,CZ_Coal,2050,10,13,18,39,0.0
390,CZ_Coal,2050,10,19,24,40,0.0
391,CZ_Gas,2050,1,7,12,2,0.0
392,CZ_Gas,2050,1,13,18,3,0.0
393,CZ_Gas,2050,1,19,24,4,0.0
394,CZ_Gas,2050,2,1,6,5,0.0
395,CZ_Gas,2050,2,7,12,6,0.0
396,CZ_Gas,2050,2,13,18,7,0.0
397,CZ_Gas,2050,2,19,24,8,0.0
398,CZ_Gas,2050,3,1,6,9,0.0
399,CZ_Gas,2050,3,7,12,10,0.0
400,CZ_Gas,2050,3,13,18,11,0.0
401,CZ_Gas,2050,3,19,24,12,0.0
402,CZ_Gas,2050,4,1,6,13,0.0
403,CZ_Gas,2050,4,7,12,14,0.0
404,CZ_Gas,2050,4,13,18,15,0.0
405,CZ_Gas,2050,4,19,24,16,0.0
406,CZ_Gas,2050,5,1,6,17,0.0
407,CZ_Gas,2050,5,7,12,18,0.0
408,CZ_Gas,2050,5,13,18,19,0.0
409,CZ_Gas,2050,5,19,24,20,0.0
410,CZ_Gas,2050,6,1,6,21,0.0
411,CZ_Gas,2050,6,7,12,22,0.0
412,CZ_Gas,2050,6,13,18,23,0.0
413,CZ_Gas,2050,6,19,24,24,0.0
414,CZ_Gas,2050,7,1,6,25,0.0
415,CZ_Gas,2050,7,7,12,26,0.0
416,CZ_Gas,2050,7,13,18,27,0.0
417,CZ_Gas,2050,7,19,24,28,0.0
418,CZ_Gas,2050,8,1,6,29,0.0
419,CZ_Gas,2050,8,7,12,30,0.0
420,CZ_Gas,2050,8,13,18,31,0.0
421,CZ_Gas,2050,8,19,24,32,0.0
422,CZ_Gas,2050,9,1,6,33,0.0
423,CZ_Gas,2050,9,7,12,34,0.0
424,CZ_Gas,2050,9,13,18,35,0.0
425,CZ_Gas,2050,9,19,24,36,0.0
426,CZ_Gas,2050,10,1,6,37,0.0
427,CZ_Gas,2050,10,7,12,38,0.0
428,CZ_Gas,2050,10,13,18,39,0.0
429,CZ_Gas,2050,10,19,24,40,0.0
430,CZ_Nuclear,2050,1,7,12,2,0.0
431,CZ_Nuclear,2050,1,13,18,3,0.0
432,CZ_Nuclear,2050,1,19,24,4,0.0
433,CZ_Nuclear,2050,2,1,6,5,0.0
434,CZ_Nuclear,2050,2,7,12,6,0.0
435,CZ_Nuclear,2050,2,13,18,7,0.0
436,CZ_Nuclear,2050,2,19,24,8,0.0
437,CZ_Nuclear,2050,3,1,6,9,0.0
438,CZ_Nuclear,2050,3,7,12,10,0.0
439,CZ_Nuclear,2050,3,13,18,11,0.0
440,CZ_Nuclear,2050,3,19,24,12,0.0
441,CZ_Nuclear,2050,4,1,6,13,0.0
442,CZ_Nuclear,2050,4,7,12,14,0.0
443,CZ_Nuclear,2050,4,13,18,15,0.0
444,CZ_Nuclear,2050,4,19,24,16,0.0
445,CZ_Nuclear,2050,5,1,6,17,0.0
446,CZ_Nuclear,2050,5,7,12,18,0.0
447,CZ_Nuclear,2050,5,13,18,19,0.0
448,CZ_Nuclear,2050,5,19,24,20,0.0
449,CZ_Nuclear,2050,6,1,6,21,0.0
450,CZ_Nuclear,2050,6,7,12,22,0.0
451,CZ_Nuclear,2050,6,13,18,23,0.0
452,CZ_Nuclear,2050,6,19,24,24,0.0
453,CZ_Nuclear,2050,7,1,6,25,0.0
454,CZ_Nuclear,2050,7,7,12,26,0.0
455,CZ_Nuclear,2050,7,13,18,27,0.0
456,CZ_Nuclear,2050,7,19,24,28,0.0
457,CZ_Nuclear,2050,8,1,6,29,0.0
458,CZ_Nuclear,2050,8,7,12,30,0.0
459,CZ_Nuclear,2050,8,13,18,31,0.0
460,CZ_Nuclear,2050,8,19,24,32,0.0
461,CZ_Nuclear,2050,9,1,6,33,0.0
462,CZ_Nuclear,2050,9,7,12,34,0.0
463,CZ_Nuclear,2050,9,13,18,35,0.0
464,CZ_Nuclear,2050,9,19,24,36,0.0
465,CZ_Nuclear,2050,10,1,6,37,0.0
466,CZ_Nuclear,2050,10,7,12,38,0.0
467,CZ_Nuclear,2050,10,13,18,39,0.0
468,CZ_Nuclear,2050,10,19,24,40,0.0
469,DE_Coal,2050,1,7,12,2,0.0
470,DE_Coal,2050,1,13,18,3,0.0
471,DE_Coal,2050,1,19,24,4,0.0
472,DE_Coal,2050,2,1,6,5,0.0
473,DE_Coal,2050,2,7,12,6,0.0
474,DE_Coal,2050,2,13,18,7,0.0
475,DE_Coal,2050,2,19,24,8,0.0
476,DE_Coal,2050,3,1,6,9,0.0
477,DE_Coal,2050,3,7,12,10,0.0
478,DE_Coal,2050,3,13,18,11,0.0
479,DE_Coal,2050,3,19,24,12,0.0
480,DE_Coal,2050,4,1,6,13,0.0
481,DE_Coal,2050,4,7,12,14,0.0
482,DE_Coal,2050,4,13,18,15,0.0
